Epoch [47/80] | Train Loss: 0.0002 | Val Loss: 0.0105 | Val R2: 0.3227 | Val Pearson: 0.5944 | Test Loss: 0.0137 | Test R2: 0.3628 | Test Pearson: 0.6274
Epoch [48/80] | Train Loss: 0.0002 | Val Loss: 0.0099 | Val R2: 0.3590 | Val Pearson: 0.6165 | Test Loss: 0.0134 | Test R2: 0.3803 | Test Pearson: 0.6409
Epoch [49/80] | Train Loss: 0.0002 | Val Loss: 0.0100 | Val R2: 0.3497 | Val Pearson: 0.6232 | Test Loss: 0.0137 | Test R2: 0.3673 | Test Pearson: 0.6266
Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0109 | Val R2: 0.2918 | Val Pearson: 0.5688 | Test Loss: 0.0133 | Test R2: 0.3834 | Test Pearson: 0.6433
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0108 | Val R2: 0.2981 | Val Pearson: 0.5810 | Test Loss: 0.0133 | Test R2: 0.3813 | Test Pearson: 0.6402
Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0105 | Val R2: 0.3173 | Val Pearson: 0.5821 | Test Loss: 0.0132 | Test R2: 0.3894 | Test Pearson: 0.6540
Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0107 | Val R2: 0.3093 | Val Pearson: 0.5689 | Test Loss: 0.0132 | Test R2: 0.3879 | Test Pearson: 0.6572
Epoch [54/80] | Train Loss: 0.0001 | Val Loss: 0.0105 | Val R2: 0.3178 | Val Pearson: 0.5874 | Test Loss: 0.0134 | Test R2: 0.3800 | Test Pearson: 0.6420
Epoch [55/80] | Train Loss: 0.0001 | Val Loss: 0.0102 | Val R2: 0.3371 | Val Pearson: 0.5967 | Test Loss: 0.0134 | Test R2: 0.3776 | Test Pearson: 0.6482
Epoch [56/80] | Train Loss: 0.0001 | Val Loss: 0.0101 | Val R2: 0.3443 | Val Pearson: 0.6191 | Test Loss: 0.0131 | Test R2: 0.3916 | Test Pearson: 0.6498
Epoch [57/80] | Train Loss: 0.0001 | Val Loss: 0.0104 | Val R2: 0.3288 | Val Pearson: 0.5944 | Test Loss: 0.0132 | Test R2: 0.3873 | Test Pearson: 0.6552
Epoch [58/80] | Train Loss: 0.0001 | Val Loss: 0.0102 | Val R2: 0.3390 | Val Pearson: 0.6066 | Test Loss: 0.0129 | Test R2: 0.4022 | Test Pearson: 0.6642
Epoch [59/80] | Train Loss: 0.0001 | Val Loss: 0.0103 | Val R2: 0.3313 | Val Pearson: 0.6030 | Test Loss: 0.0128 | Test R2: 0.4046 | Test Pearson: 0.6631
Epoch [60/80] | Train Loss: 0.0001 | Val Loss: 0.0108 | Val R2: 0.2992 | Val Pearson: 0.5946 | Test Loss: 0.0131 | Test R2: 0.3942 | Test Pearson: 0.6557
Epoch [61/80] | Train Loss: 0.0001 | Val Loss: 0.0104 | Val R2: 0.3291 | Val Pearson: 0.5983 | Test Loss: 0.0133 | Test R2: 0.3851 | Test Pearson: 0.6495
Epoch [62/80] | Train Loss: 0.0001 | Val Loss: 0.0103 | Val R2: 0.3358 | Val Pearson: 0.6115 | Test Loss: 0.0131 | Test R2: 0.3909 | Test Pearson: 0.6509
Epoch [63/80] | Train Loss: 0.0001 | Val Loss: 0.0102 | Val R2: 0.3408 | Val Pearson: 0.6037 | Test Loss: 0.0135 | Test R2: 0.3724 | Test Pearson: 0.6396
Epoch [64/80] | Train Loss: 0.0001 | Val Loss: 0.0102 | Val R2: 0.3370 | Val Pearson: 0.6117 | Test Loss: 0.0135 | Test R2: 0.3748 | Test Pearson: 0.6367
Epoch [65/80] | Train Loss: 0.0001 | Val Loss: 0.0102 | Val R2: 0.3404 | Val Pearson: 0.6083 | Test Loss: 0.0134 | Test R2: 0.3779 | Test Pearson: 0.6441
Epoch [66/80] | Train Loss: 0.0001 | Val Loss: 0.0101 | Val R2: 0.3477 | Val Pearson: 0.6152 | Test Loss: 0.0132 | Test R2: 0.3890 | Test Pearson: 0.6526
Epoch [67/80] | Train Loss: 0.0001 | Val Loss: 0.0103 | Val R2: 0.3321 | Val Pearson: 0.6079 | Test Loss: 0.0132 | Test R2: 0.3887 | Test Pearson: 0.6484
Epoch [68/80] | Train Loss: 0.0000 | Val Loss: 0.0101 | Val R2: 0.3448 | Val Pearson: 0.6137 | Test Loss: 0.0134 | Test R2: 0.3811 | Test Pearson: 0.6445
Epoch [69/80] | Train Loss: 0.0000 | Val Loss: 0.0104 | Val R2: 0.3293 | Val Pearson: 0.6038 | Test Loss: 0.0133 | Test R2: 0.3843 | Test Pearson: 0.6482
