Epoch [45/80] | Train Loss: 0.0003 | Val Loss: 0.0083 | Val R2: 0.5380 | Val Pearson: 0.7539 | Test Loss: 0.0093 | Test R2: 0.4350 | Test Pearson: 0.6728
Epoch [46/80] | Train Loss: 0.0003 | Val Loss: 0.0076 | Val R2: 0.5791 | Val Pearson: 0.7692 | Test Loss: 0.0091 | Test R2: 0.4499 | Test Pearson: 0.6779
Epoch [47/80] | Train Loss: 0.0003 | Val Loss: 0.0080 | Val R2: 0.5556 | Val Pearson: 0.7525 | Test Loss: 0.0088 | Test R2: 0.4666 | Test Pearson: 0.6868
Epoch [48/80] | Train Loss: 0.0002 | Val Loss: 0.0074 | Val R2: 0.5882 | Val Pearson: 0.7801 | Test Loss: 0.0089 | Test R2: 0.4603 | Test Pearson: 0.6886
Epoch [49/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5679 | Val Pearson: 0.7686 | Test Loss: 0.0091 | Test R2: 0.4485 | Test Pearson: 0.6756
Epoch [50/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5659 | Val Pearson: 0.7710 | Test Loss: 0.0089 | Test R2: 0.4591 | Test Pearson: 0.6948
Epoch [51/80] | Train Loss: 0.0002 | Val Loss: 0.0079 | Val R2: 0.5597 | Val Pearson: 0.7608 | Test Loss: 0.0087 | Test R2: 0.4725 | Test Pearson: 0.6938
Epoch [52/80] | Train Loss: 0.0002 | Val Loss: 0.0078 | Val R2: 0.5619 | Val Pearson: 0.7671 | Test Loss: 0.0090 | Test R2: 0.4548 | Test Pearson: 0.6897
Epoch [53/80] | Train Loss: 0.0002 | Val Loss: 0.0075 | Val R2: 0.5841 | Val Pearson: 0.7783 | Test Loss: 0.0088 | Test R2: 0.4655 | Test Pearson: 0.6867
Epoch [54/80] | Train Loss: 0.0002 | Val Loss: 0.0074 | Val R2: 0.5895 | Val Pearson: 0.7793 | Test Loss: 0.0087 | Test R2: 0.4755 | Test Pearson: 0.6941
Epoch [55/80] | Train Loss: 0.0001 | Val Loss: 0.0075 | Val R2: 0.5788 | Val Pearson: 0.7742 | Test Loss: 0.0090 | Test R2: 0.4571 | Test Pearson: 0.6818
Epoch [56/80] | Train Loss: 0.0001 | Val Loss: 0.0077 | Val R2: 0.5753 | Val Pearson: 0.7699 | Test Loss: 0.0087 | Test R2: 0.4737 | Test Pearson: 0.6967
Epoch [57/80] | Train Loss: 0.0001 | Val Loss: 0.0075 | Val R2: 0.5859 | Val Pearson: 0.7808 | Test Loss: 0.0087 | Test R2: 0.4741 | Test Pearson: 0.6985
Epoch [58/80] | Train Loss: 0.0001 | Val Loss: 0.0073 | Val R2: 0.5942 | Val Pearson: 0.7849 | Test Loss: 0.0085 | Test R2: 0.4835 | Test Pearson: 0.6996
Epoch [59/80] | Train Loss: 0.0001 | Val Loss: 0.0074 | Val R2: 0.5858 | Val Pearson: 0.7791 | Test Loss: 0.0087 | Test R2: 0.4733 | Test Pearson: 0.6908
Epoch [60/80] | Train Loss: 0.0001 | Val Loss: 0.0074 | Val R2: 0.5868 | Val Pearson: 0.7808 | Test Loss: 0.0085 | Test R2: 0.4822 | Test Pearson: 0.7018
Epoch [61/80] | Train Loss: 0.0001 | Val Loss: 0.0074 | Val R2: 0.5883 | Val Pearson: 0.7812 | Test Loss: 0.0086 | Test R2: 0.4774 | Test Pearson: 0.6951
Epoch [62/80] | Train Loss: 0.0001 | Val Loss: 0.0075 | Val R2: 0.5824 | Val Pearson: 0.7758 | Test Loss: 0.0087 | Test R2: 0.4746 | Test Pearson: 0.6975
Epoch [63/80] | Train Loss: 0.0001 | Val Loss: 0.0074 | Val R2: 0.5860 | Val Pearson: 0.7784 | Test Loss: 0.0084 | Test R2: 0.4916 | Test Pearson: 0.7065
Epoch [64/80] | Train Loss: 0.0001 | Val Loss: 0.0075 | Val R2: 0.5809 | Val Pearson: 0.7798 | Test Loss: 0.0086 | Test R2: 0.4806 | Test Pearson: 0.7003
Epoch [65/80] | Train Loss: 0.0001 | Val Loss: 0.0074 | Val R2: 0.5846 | Val Pearson: 0.7812 | Test Loss: 0.0086 | Test R2: 0.4810 | Test Pearson: 0.7024
Epoch [66/80] | Train Loss: 0.0001 | Val Loss: 0.0074 | Val R2: 0.5873 | Val Pearson: 0.7823 | Test Loss: 0.0085 | Test R2: 0.4859 | Test Pearson: 0.7026
Epoch [67/80] | Train Loss: 0.0001 | Val Loss: 0.0076 | Val R2: 0.5823 | Val Pearson: 0.7788 | Test Loss: 0.0087 | Test R2: 0.4704 | Test Pearson: 0.6936
Epoch [68/80] | Train Loss: 0.0001 | Val Loss: 0.0077 | Val R2: 0.5853 | Val Pearson: 0.7825 | Test Loss: 0.0086 | Test R2: 0.4766 | Test Pearson: 0.7027
Epoch [69/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5847 | Val Pearson: 0.7784 | Test Loss: 0.0087 | Test R2: 0.4750 | Test Pearson: 0.6949
Epoch [70/80] | Train Loss: 0.0000 | Val Loss: 0.0074 | Val R2: 0.5876 | Val Pearson: 0.7821 | Test Loss: 0.0086 | Test R2: 0.4815 | Test Pearson: 0.7015
Epoch [71/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5839 | Val Pearson: 0.7800 | Test Loss: 0.0085 | Test R2: 0.4839 | Test Pearson: 0.7007
Epoch [72/80] | Train Loss: 0.0000 | Val Loss: 0.0078 | Val R2: 0.5797 | Val Pearson: 0.7778 | Test Loss: 0.0086 | Test R2: 0.4770 | Test Pearson: 0.6984
Epoch [73/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5810 | Val Pearson: 0.7769 | Test Loss: 0.0086 | Test R2: 0.4798 | Test Pearson: 0.6991
Epoch [74/80] | Train Loss: 0.0000 | Val Loss: 0.0074 | Val R2: 0.5872 | Val Pearson: 0.7811 | Test Loss: 0.0086 | Test R2: 0.4817 | Test Pearson: 0.6995
Epoch [75/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5880 | Val Pearson: 0.7811 | Test Loss: 0.0085 | Test R2: 0.4870 | Test Pearson: 0.7038
Epoch [76/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5806 | Val Pearson: 0.7770 | Test Loss: 0.0086 | Test R2: 0.4788 | Test Pearson: 0.6988
Epoch [77/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5829 | Val Pearson: 0.7785 | Test Loss: 0.0086 | Test R2: 0.4815 | Test Pearson: 0.7007
Epoch [78/80] | Train Loss: 0.0000 | Val Loss: 0.0076 | Val R2: 0.5806 | Val Pearson: 0.7776 | Test Loss: 0.0086 | Test R2: 0.4770 | Test Pearson: 0.6970
Epoch [79/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5812 | Val Pearson: 0.7787 | Test Loss: 0.0086 | Test R2: 0.4788 | Test Pearson: 0.6987
Epoch [80/80] | Train Loss: 0.0000 | Val Loss: 0.0075 | Val R2: 0.5837 | Val Pearson: 0.7801 | Test Loss: 0.0085 | Test R2: 0.4837 | Test Pearson: 0.7031
Training complete. Best Correlation achieved at Epoch 58 with Pearson Correlation: 0.7849
