Epoch [72/80] | Train Loss: 0.0000 | Val Loss: 0.0097 | Val R2: 0.3694 | Val Pearson: 0.6329 | Test Loss: 0.0146 | Test R2: 0.3228 | Test Pearson: 0.5757
Epoch [73/80] | Train Loss: 0.0000 | Val Loss: 0.0097 | Val R2: 0.3717 | Val Pearson: 0.6297 | Test Loss: 0.0145 | Test R2: 0.3282 | Test Pearson: 0.5822
Epoch [74/80] | Train Loss: 0.0000 | Val Loss: 0.0097 | Val R2: 0.3734 | Val Pearson: 0.6328 | Test Loss: 0.0147 | Test R2: 0.3170 | Test Pearson: 0.5708
Epoch [75/80] | Train Loss: 0.0000 | Val Loss: 0.0097 | Val R2: 0.3732 | Val Pearson: 0.6303 | Test Loss: 0.0146 | Test R2: 0.3239 | Test Pearson: 0.5792
Epoch [76/80] | Train Loss: 0.0000 | Val Loss: 0.0099 | Val R2: 0.3612 | Val Pearson: 0.6239 | Test Loss: 0.0147 | Test R2: 0.3208 | Test Pearson: 0.5757
Epoch [77/80] | Train Loss: 0.0000 | Val Loss: 0.0098 | Val R2: 0.3674 | Val Pearson: 0.6258 | Test Loss: 0.0148 | Test R2: 0.3160 | Test Pearson: 0.5725
Epoch [78/80] | Train Loss: 0.0000 | Val Loss: 0.0098 | Val R2: 0.3642 | Val Pearson: 0.6265 | Test Loss: 0.0146 | Test R2: 0.3230 | Test Pearson: 0.5772
Epoch [79/80] | Train Loss: 0.0000 | Val Loss: 0.0099 | Val R2: 0.3600 | Val Pearson: 0.6241 | Test Loss: 0.0146 | Test R2: 0.3212 | Test Pearson: 0.5758
Epoch [80/80] | Train Loss: 0.0000 | Val Loss: 0.0098 | Val R2: 0.3640 | Val Pearson: 0.6250 | Test Loss: 0.0147 | Test R2: 0.3195 | Test Pearson: 0.5745
Training complete. Best Correlation achieved at Epoch 37 with Pearson Correlation: 0.6473
