Epoch [116/300] | Train Loss: 0.0012 | Val Loss: 0.0264 | R2: -0.5446 | Pearson: 0.4514
Epoch [117/300] | Train Loss: 0.0013 | Val Loss: 0.0223 | R2: -0.2882 | Pearson: 0.5836
Epoch [118/300] | Train Loss: 0.0014 | Val Loss: 0.0272 | R2: -0.5968 | Pearson: 0.5440
Epoch [119/300] | Train Loss: 0.0012 | Val Loss: 0.0216 | R2: -0.2813 | Pearson: 0.3774
Epoch [120/300] | Train Loss: 0.0010 | Val Loss: 0.0236 | R2: -0.3797 | Pearson: 0.6039
Epoch [121/300] | Train Loss: 0.0011 | Val Loss: 0.0101 | R2: 0.4104 | Pearson: 0.6441
Epoch [122/300] | Train Loss: 0.0010 | Val Loss: 0.0179 | R2: -0.0561 | Pearson: 0.5528
Epoch [123/300] | Train Loss: 0.0012 | Val Loss: 0.0218 | R2: -0.2592 | Pearson: 0.4253
Epoch [124/300] | Train Loss: 0.0011 | Val Loss: 0.0494 | R2: -1.8990 | Pearson: 0.5276
Epoch [125/300] | Train Loss: 0.0012 | Val Loss: 0.0201 | R2: -0.1711 | Pearson: 0.5081
Epoch [126/300] | Train Loss: 0.0011 | Val Loss: 0.0317 | R2: -0.8234 | Pearson: 0.4782
Epoch [127/300] | Train Loss: 0.0013 | Val Loss: 0.0171 | R2: -0.0041 | Pearson: 0.5459
Epoch [128/300] | Train Loss: 0.0011 | Val Loss: 0.0110 | R2: 0.3486 | Pearson: 0.6149
Epoch [129/300] | Train Loss: 0.0015 | Val Loss: 0.0158 | R2: 0.0708 | Pearson: 0.5985
Epoch [130/300] | Train Loss: 0.0010 | Val Loss: 0.0109 | R2: 0.3540 | Pearson: 0.6017
Epoch [131/300] | Train Loss: 0.0011 | Val Loss: 0.0287 | R2: -0.6774 | Pearson: 0.4380
Epoch [132/300] | Train Loss: 0.0008 | Val Loss: 0.0182 | R2: -0.0737 | Pearson: 0.5864
Epoch [133/300] | Train Loss: 0.0010 | Val Loss: 0.0120 | R2: 0.2953 | Pearson: 0.6168
Epoch [134/300] | Train Loss: 0.0010 | Val Loss: 0.0210 | R2: -0.2445 | Pearson: 0.5683
Epoch [135/300] | Train Loss: 0.0011 | Val Loss: 0.0102 | R2: 0.4060 | Pearson: 0.6417
Epoch [136/300] | Train Loss: 0.0010 | Val Loss: 0.0106 | R2: 0.3706 | Pearson: 0.6361
Epoch [137/300] | Train Loss: 0.0010 | Val Loss: 0.0155 | R2: 0.0984 | Pearson: 0.4415
Epoch [138/300] | Train Loss: 0.0011 | Val Loss: 0.0104 | R2: 0.3914 | Pearson: 0.6352
Epoch [139/300] | Train Loss: 0.0009 | Val Loss: 0.0116 | R2: 0.3297 | Pearson: 0.6419
Epoch [140/300] | Train Loss: 0.0010 | Val Loss: 0.0129 | R2: 0.2675 | Pearson: 0.5622
Epoch [141/300] | Train Loss: 0.0010 | Val Loss: 0.0107 | R2: 0.3728 | Pearson: 0.6322
Epoch [142/300] | Train Loss: 0.0013 | Val Loss: 0.0118 | R2: 0.3050 | Pearson: 0.5533
Epoch [143/300] | Train Loss: 0.0012 | Val Loss: 0.0143 | R2: 0.1554 | Pearson: 0.6051
Epoch [144/300] | Train Loss: 0.0009 | Val Loss: 0.0104 | R2: 0.3953 | Pearson: 0.6314
Epoch [145/300] | Train Loss: 0.0007 | Val Loss: 0.0291 | R2: -0.7001 | Pearson: 0.5130
Epoch [146/300] | Train Loss: 0.0010 | Val Loss: 0.0156 | R2: 0.0857 | Pearson: 0.5891
Epoch [147/300] | Train Loss: 0.0009 | Val Loss: 0.0146 | R2: 0.1429 | Pearson: 0.6264
Epoch [148/300] | Train Loss: 0.0009 | Val Loss: 0.0156 | R2: 0.0998 | Pearson: 0.6065
Epoch [149/300] | Train Loss: 0.0009 | Val Loss: 0.0109 | R2: 0.3619 | Pearson: 0.6242
Epoch [150/300] | Train Loss: 0.0007 | Val Loss: 0.0226 | R2: -0.3180 | Pearson: 0.5367
Epoch [151/300] | Train Loss: 0.0008 | Val Loss: 0.0109 | R2: 0.3587 | Pearson: 0.6238
Epoch [152/300] | Train Loss: 0.0007 | Val Loss: 0.0119 | R2: 0.3022 | Pearson: 0.6309
Epoch [153/300] | Train Loss: 0.0009 | Val Loss: 0.0133 | R2: 0.2210 | Pearson: 0.6359
Epoch [154/300] | Train Loss: 0.0008 | Val Loss: 0.0105 | R2: 0.3891 | Pearson: 0.6281
Epoch [155/300] | Train Loss: 0.0007 | Val Loss: 0.0120 | R2: 0.2974 | Pearson: 0.6092
Epoch [156/300] | Train Loss: 0.0008 | Val Loss: 0.0216 | R2: -0.2670 | Pearson: 0.5826
Epoch [157/300] | Train Loss: 0.0008 | Val Loss: 0.0116 | R2: 0.3100 | Pearson: 0.5703
Epoch [158/300] | Train Loss: 0.0009 | Val Loss: 0.0152 | R2: 0.1234 | Pearson: 0.6160
Epoch [159/300] | Train Loss: 0.0009 | Val Loss: 0.0103 | R2: 0.4098 | Pearson: 0.6403
Epoch [160/300] | Train Loss: 0.0007 | Val Loss: 0.0134 | R2: 0.2275 | Pearson: 0.6179
Epoch [161/300] | Train Loss: 0.0007 | Val Loss: 0.0104 | R2: 0.3882 | Pearson: 0.6375
Epoch [162/300] | Train Loss: 0.0009 | Val Loss: 0.0099 | R2: 0.4156 | Pearson: 0.6462
Epoch [163/300] | Train Loss: 0.0007 | Val Loss: 0.0109 | R2: 0.3511 | Pearson: 0.6384
Epoch [164/300] | Train Loss: 0.0007 | Val Loss: 0.0181 | R2: -0.0640 | Pearson: 0.6050
Epoch [165/300] | Train Loss: 0.0008 | Val Loss: 0.0193 | R2: -0.1443 | Pearson: 0.4917
Epoch [166/300] | Train Loss: 0.0010 | Val Loss: 0.0145 | R2: 0.1462 | Pearson: 0.5540
Epoch [167/300] | Train Loss: 0.0008 | Val Loss: 0.0116 | R2: 0.3160 | Pearson: 0.6230
Epoch [168/300] | Train Loss: 0.0007 | Val Loss: 0.0111 | R2: 0.3597 | Pearson: 0.6006
Epoch [169/300] | Train Loss: 0.0007 | Val Loss: 0.0103 | R2: 0.3956 | Pearson: 0.6447
Epoch [170/300] | Train Loss: 0.0007 | Val Loss: 0.0105 | R2: 0.3871 | Pearson: 0.6412
Epoch [171/300] | Train Loss: 0.0005 | Val Loss: 0.0131 | R2: 0.2235 | Pearson: 0.6382
Epoch [172/300] | Train Loss: 0.0006 | Val Loss: 0.0103 | R2: 0.3910 | Pearson: 0.6382
Epoch [173/300] | Train Loss: 0.0008 | Val Loss: 0.0105 | R2: 0.3868 | Pearson: 0.6445
Epoch [174/300] | Train Loss: 0.0006 | Val Loss: 0.0125 | R2: 0.2614 | Pearson: 0.6216
Epoch [175/300] | Train Loss: 0.0007 | Val Loss: 0.0200 | R2: -0.1729 | Pearson: 0.5881
Epoch [176/300] | Train Loss: 0.0006 | Val Loss: 0.0136 | R2: 0.2117 | Pearson: 0.6170
Epoch [177/300] | Train Loss: 0.0007 | Val Loss: 0.0158 | R2: 0.0624 | Pearson: 0.6162
Epoch [178/300] | Train Loss: 0.0007 | Val Loss: 0.0114 | R2: 0.3343 | Pearson: 0.6285
Epoch [179/300] | Train Loss: 0.0006 | Val Loss: 0.0116 | R2: 0.3102 | Pearson: 0.6220
Epoch [180/300] | Train Loss: 0.0006 | Val Loss: 0.0132 | R2: 0.2156 | Pearson: 0.6158
Epoch [181/300] | Train Loss: 0.0006 | Val Loss: 0.0108 | R2: 0.3722 | Pearson: 0.6186
Epoch [182/300] | Train Loss: 0.0008 | Val Loss: 0.0117 | R2: 0.3114 | Pearson: 0.6250
Epoch [183/300] | Train Loss: 0.0007 | Val Loss: 0.0119 | R2: 0.2975 | Pearson: 0.6332
Epoch [184/300] | Train Loss: 0.0007 | Val Loss: 0.0113 | R2: 0.3413 | Pearson: 0.6213
Epoch [185/300] | Train Loss: 0.0006 | Val Loss: 0.0102 | R2: 0.3976 | Pearson: 0.6383
Epoch [186/300] | Train Loss: 0.0006 | Val Loss: 0.0112 | R2: 0.3462 | Pearson: 0.6265
Epoch [187/300] | Train Loss: 0.0006 | Val Loss: 0.0159 | R2: 0.0647 | Pearson: 0.6116
Epoch [188/300] | Train Loss: 0.0007 | Val Loss: 0.0107 | R2: 0.3702 | Pearson: 0.6234
Epoch [189/300] | Train Loss: 0.0006 | Val Loss: 0.0133 | R2: 0.2117 | Pearson: 0.4774
Epoch [190/300] | Train Loss: 0.0007 | Val Loss: 0.0136 | R2: 0.2071 | Pearson: 0.6067
Epoch [191/300] | Train Loss: 0.0006 | Val Loss: 0.0126 | R2: 0.2591 | Pearson: 0.6107
Epoch [192/300] | Train Loss: 0.0007 | Val Loss: 0.0127 | R2: 0.2590 | Pearson: 0.6280
Epoch [193/300] | Train Loss: 0.0005 | Val Loss: 0.0102 | R2: 0.4164 | Pearson: 0.6456
Epoch [194/300] | Train Loss: 0.0005 | Val Loss: 0.0102 | R2: 0.4095 | Pearson: 0.6428
Epoch [195/300] | Train Loss: 0.0008 | Val Loss: 0.0107 | R2: 0.3699 | Pearson: 0.6412
Epoch [196/300] | Train Loss: 0.0010 | Val Loss: 0.0102 | R2: 0.4055 | Pearson: 0.6487
Epoch [197/300] | Train Loss: 0.0009 | Val Loss: 0.0112 | R2: 0.3411 | Pearson: 0.6302
Epoch [198/300] | Train Loss: 0.0005 | Val Loss: 0.0102 | R2: 0.4090 | Pearson: 0.6447
Epoch [199/300] | Train Loss: 0.0006 | Val Loss: 0.0107 | R2: 0.3701 | Pearson: 0.6336
Epoch [200/300] | Train Loss: 0.0005 | Val Loss: 0.0104 | R2: 0.3905 | Pearson: 0.6438
Epoch [201/300] | Train Loss: 0.0006 | Val Loss: 0.0105 | R2: 0.3835 | Pearson: 0.6310
Epoch [202/300] | Train Loss: 0.0005 | Val Loss: 0.0118 | R2: 0.3000 | Pearson: 0.6444
Epoch [203/300] | Train Loss: 0.0004 | Val Loss: 0.0099 | R2: 0.4175 | Pearson: 0.6475
Epoch [204/300] | Train Loss: 0.0005 | Val Loss: 0.0110 | R2: 0.3652 | Pearson: 0.6340
Epoch [205/300] | Train Loss: 0.0006 | Val Loss: 0.0125 | R2: 0.2705 | Pearson: 0.6172
Epoch [206/300] | Train Loss: 0.0005 | Val Loss: 0.0119 | R2: 0.3001 | Pearson: 0.6328
Epoch [207/300] | Train Loss: 0.0005 | Val Loss: 0.0100 | R2: 0.4129 | Pearson: 0.6430
Epoch [208/300] | Train Loss: 0.0007 | Val Loss: 0.0098 | R2: 0.4228 | Pearson: 0.6517
Epoch [209/300] | Train Loss: 0.0005 | Val Loss: 0.0103 | R2: 0.4020 | Pearson: 0.6504
Epoch [210/300] | Train Loss: 0.0006 | Val Loss: 0.0105 | R2: 0.3956 | Pearson: 0.6345
Epoch [211/300] | Train Loss: 0.0005 | Val Loss: 0.0113 | R2: 0.3471 | Pearson: 0.6404
Epoch [212/300] | Train Loss: 0.0004 | Val Loss: 0.0112 | R2: 0.3494 | Pearson: 0.5932
Epoch [213/300] | Train Loss: 0.0005 | Val Loss: 0.0124 | R2: 0.2797 | Pearson: 0.6111
Epoch [214/300] | Train Loss: 0.0005 | Val Loss: 0.0100 | R2: 0.4139 | Pearson: 0.6448
Epoch [215/300] | Train Loss: 0.0004 | Val Loss: 0.0101 | R2: 0.4057 | Pearson: 0.6412
Epoch [216/300] | Train Loss: 0.0007 | Val Loss: 0.0106 | R2: 0.3808 | Pearson: 0.6372
Epoch [217/300] | Train Loss: 0.0006 | Val Loss: 0.0121 | R2: 0.3017 | Pearson: 0.6369
Epoch [218/300] | Train Loss: 0.0005 | Val Loss: 0.0110 | R2: 0.3579 | Pearson: 0.6375
Epoch [219/300] | Train Loss: 0.0005 | Val Loss: 0.0150 | R2: 0.1157 | Pearson: 0.6084
Epoch [220/300] | Train Loss: 0.0005 | Val Loss: 0.0103 | R2: 0.4041 | Pearson: 0.6409
Epoch [221/300] | Train Loss: 0.0006 | Val Loss: 0.0109 | R2: 0.3664 | Pearson: 0.6067
Epoch [222/300] | Train Loss: 0.0005 | Val Loss: 0.0124 | R2: 0.2727 | Pearson: 0.6220
Epoch [223/300] | Train Loss: 0.0004 | Val Loss: 0.0099 | R2: 0.4228 | Pearson: 0.6506
Epoch [224/300] | Train Loss: 0.0005 | Val Loss: 0.0102 | R2: 0.4048 | Pearson: 0.6427
Epoch [225/300] | Train Loss: 0.0005 | Val Loss: 0.0106 | R2: 0.3806 | Pearson: 0.6349
Epoch [226/300] | Train Loss: 0.0004 | Val Loss: 0.0107 | R2: 0.3981 | Pearson: 0.6366
Epoch [227/300] | Train Loss: 0.0005 | Val Loss: 0.0102 | R2: 0.3987 | Pearson: 0.6461
Epoch [228/300] | Train Loss: 0.0013 | Val Loss: 0.0135 | R2: 0.2128 | Pearson: 0.6400
Epoch [229/300] | Train Loss: 0.0005 | Val Loss: 0.0104 | R2: 0.3988 | Pearson: 0.6431
Epoch [230/300] | Train Loss: 0.0004 | Val Loss: 0.0102 | R2: 0.4009 | Pearson: 0.6421
Epoch [231/300] | Train Loss: 0.0004 | Val Loss: 0.0099 | R2: 0.4216 | Pearson: 0.6517
Epoch [232/300] | Train Loss: 0.0004 | Val Loss: 0.0102 | R2: 0.4075 | Pearson: 0.6531
Epoch [233/300] | Train Loss: 0.0005 | Val Loss: 0.0100 | R2: 0.4177 | Pearson: 0.6470
Epoch [234/300] | Train Loss: 0.0011 | Val Loss: 0.0108 | R2: 0.3651 | Pearson: 0.6215
Epoch [235/300] | Train Loss: 0.0005 | Val Loss: 0.0100 | R2: 0.4135 | Pearson: 0.6476
Epoch [236/300] | Train Loss: 0.0006 | Val Loss: 0.0098 | R2: 0.4183 | Pearson: 0.6485
Epoch [237/300] | Train Loss: 0.0004 | Val Loss: 0.0106 | R2: 0.3905 | Pearson: 0.6417
Epoch [238/300] | Train Loss: 0.0005 | Val Loss: 0.0099 | R2: 0.4140 | Pearson: 0.6456
Epoch [239/300] | Train Loss: 0.0004 | Val Loss: 0.0100 | R2: 0.4218 | Pearson: 0.6496
Epoch [240/300] | Train Loss: 0.0004 | Val Loss: 0.0099 | R2: 0.4179 | Pearson: 0.6482
Epoch [241/300] | Train Loss: 0.0004 | Val Loss: 0.0103 | R2: 0.3978 | Pearson: 0.6473
Epoch [242/300] | Train Loss: 0.0003 | Val Loss: 0.0102 | R2: 0.4025 | Pearson: 0.6479
Epoch [243/300] | Train Loss: 0.0004 | Val Loss: 0.0099 | R2: 0.4158 | Pearson: 0.6449
Epoch [244/300] | Train Loss: 0.0004 | Val Loss: 0.0103 | R2: 0.3965 | Pearson: 0.6458
Epoch [245/300] | Train Loss: 0.0004 | Val Loss: 0.0104 | R2: 0.4102 | Pearson: 0.6530
